Closure Report 06-04-2025@15-05

**PRODUCTS STOCK**

Product Name              Quantity  
Spaghetti Pasta           30        
Bananas                   60        
Red Apples                21        
Chicken Breast            2         
Herbal Shampoo            25        
Frozen French Fries       6         
Frozen Mixed Berries      4         
Nescafe                   10        
Cheddar Cheese (200g)     14        
Cola (2L Bottle)          30        
Paper Towels (6 Pack)     14        
Salmon Fillet             0         
Fresh Baguette            13        
Croissant (Pack of 4)     0         
Orange Juice (1L)         12        
Whole Milk                11        

** CASHIERS **

Cashier              Total Sales
1                     53.95    

** CUSTOMERS **

Name                 Total Spend     Points Earned   Points Used    
Sofia Antoniou       10              0               0              
