		CLOSURE REPORT06-04-2025 @ 15:22


**PRODUCTS STOCK**

Product Name              Quantity  
Spaghetti Pasta           30        
Bananas                   58        
Red Apples                21        
Chicken Breast            2         
Herbal Shampoo            25        
Frozen French Fries       6         
Frozen Mixed Berries      4         
Nescafe                   8         
Cheddar Cheese (200g)     14        
Cola (2L Bottle)          28        
Paper Towels (6 Pack)     10        
Salmon Fill
