		CLOSURE REPORT 06-04-2025 @ 15:24


**PRODUCTS STOCK**

Product Name              Quantity  
Spaghetti Pasta           30        
Bananas                   54        
Red Apples                21        
Chicken Breast            2         
Herbal Shampoo            25        
Frozen French Fries       6         
Frozen Mixed Berries      4         
Nescafe                   8         
Cheddar Cheese (200g)     14        
Cola (2L Bottle)          28        
Paper Towels (6 Pack)     10        
Salmon Fillet             0         
Fresh Baguette            13        
Croissant (Pack of 4)     0         
Orange Juice (1L)         12        
Whole Milk                8         

** CASHIERS **

Cashier              Total Sales
1                     2.38     

** CUSTOMERS **

Name                 Total Spend     Points Earned   Points Used    
Andreas Georgiou     2.38            0               0              
